Año,Mes,País,Producto,Importacion
2024,Agosto,México,Planos,911.16217122368
2024,Agosto,México,Tubos Sin Costura,8.73108627901
2024,Agosto,México,Laminados,1080.6519027593502
2024,Agosto,Panamá,Largos,18.842338
2024,Agosto,Panamá,Planos,6.176399
2024,Agosto,Panamá,Tubos Sin Costura,0.110108
2024,Agosto,Panamá,Laminados,25.128845000000002
2024,Agosto,Paraguay,Largos,9.839240400000003
2024,Agosto,Paraguay,Planos,25.677545900000005
2024,Agosto,Paraguay,Tubos Sin Costura,0.15503870000000003
2024,Agosto,Paraguay,Laminados,35.671825000000005
2024,Agosto,Perú,Largos,76.11908921999989
2024,Agosto,Perú,Planos,82.91272298999996
2024,Agosto,Perú,Tubos Sin Costura,2.040006210000001
2024,Agosto,Perú,Laminados,161.07181841999986
2024,Agosto,Uruguay,Largos,3.472521
2024,Agosto,Uruguay,Planos,4.504565
2024,Agosto,Uruguay,Tubos Sin Costura,0.198912
2024,Agosto,Uruguay,Laminados,8.175998
2024,Agosto,Venezuela,Largos,1.328476
2024,Agosto,Venezuela,Planos,10.109427
2024,Agosto,Venezuela,Tubos Sin Costura,1.286374
2024,Agosto,Venezuela,Laminados,12.724277
2024,Septiembre,Argentina,Largos,10.428
2024,Septiembre,Argentina,Planos,47.024
2024,Septiembre,Argentina,Tubos Sin Costura,5.049
2024,Septiembre,Argentina,Laminados,62.501
2024,Septiembre,Bolivia,Largos,18.228438
2024,Septiembre,Bolivia,Planos,17.93157
2024,Septiembre,Bolivia,Tubos Sin Costura,0.890817
2024,Septiembre,Bolivia,Laminados,37.050825
2024,Septiembre,Brasil,Largos,116.624
2024,Septiembre,Brasil,Planos,323.08
2024,Septiembre,Brasil,Tubos Sin Costura,0.0
2024,Septiembre,Brasil,Laminados,439.70399999999995
2024,Septiembre,Chile,Largos,27.319280429999992
2024,Septiembre,Chile,Planos,104.37873288
2024,Septiembre,Chile,Tubos Sin Costura,2.247229530000001
2024,Septiembre,Chile,Laminados,133.94524284
2024,Septiembre,Colombia,Largos,27.44130161
2024,Septiembre,Colombia,Planos,87.85501566
2024,Septiembre,Colombia,Tubos Sin Costura,13.54438148
2024,Septiembre,Colombia,Laminados,128.84069875
2024,Septiembre,Costa Rica,Largos,11.165022359999996
2024,Septiembre,Costa Rica,Planos,18.140810503333338
2024,Septiembre,Costa Rica,Tubos Sin Costura,0.11981847999999978
2024,Septiembre,Costa Rica,Laminados,29.425651343333335
2024,Septiembre,Ecuador,Largos,9.020438000000004
2024,Septiembre,Ecuador,Planos,51.51467120000005
2024,Septiembre,Ecuador,Tubos Sin Costura,3.3394299000000065
2024,Septiembre,Ecuador,Laminados,63.874539100000064
2024,Septiembre,El Salvador,Largos,10.036073410000004
2024,Septiembre,El Salvador,Planos,23.86227118999999
2024,Septiembre,El Salvador,Tubos Sin Costura,0.25041399000000003
2024,Septiembre,El Salvador,Laminados,34.14875858999999
2024,Septiembre,Guatemala,Largos,21.321733
2024,Septiembre,Guatemala,Planos,56.514875
2024,Septiembre,Guatemala,Tubos Sin Costura,0.422662
2024,Septiembre,Guatemala,Laminados,78.25927
2024,Septiembre,Honduras,Largos,17.15855701
