Año,Mes,País,Producto,Consumo
2024,Agosto,Colombia,Largos,198.27021424
2024,Agosto,Colombia,Planos,113.07039149
2024,Agosto,Colombia,Tubos Sin Costura,6.9170773699999994
2024,Agosto,Colombia,Laminados,318.2576831
2024,Agosto,Costa Rica,Largos,44.940362826214866
2024,Agosto,Costa Rica,Planos,30.77211417000001
2024,Agosto,Costa Rica,Tubos Sin Costura,0.22845606999999954
2024,Agosto,Costa Rica,Laminados,75.94093306621487
2024,Agosto,Ecuador,Largos,56.62108842259315
2024,Agosto,Ecuador,Planos,68.08316690999993
2024,Agosto,Ecuador,Tubos Sin Costura,5.244184099999999
2024,Agosto,Ecuador,Laminados,129.9484394325931
2024,Agosto,El Salvador,Largos,10.561585600000004
2024,Agosto,El Salvador,Planos,9.2145287
2024,Agosto,El Salvador,Tubos Sin Costura,0.2571798
2024,Agosto,El Salvador,Laminados,20.033294100000003
2024,Agosto,Guatemala,Largos,53.02645445415017
2024,Agosto,Guatemala,Planos,50.224579
2024,Agosto,Guatemala,Tubos Sin Costura,1.716754
2024,Agosto,Guatemala,Laminados,104.96778745415016
2024,Agosto,Honduras,Largos,9.663636780000001
2024,Agosto,Honduras,Planos,6.310939580000001
2024,Agosto,Honduras,Tubos Sin Costura,0.19815026999999996
2024,Agosto,Honduras,Laminados,16.172726630000003
2024,Agosto,México,Largos,757.92907347167
2024,Agosto,México,Planos,1660.72055285406
2024,Agosto,México,Tubos Sin Costura,21.211618318270006
2024,Agosto,México,Laminados,2439.861244644
2024,Agosto,Panamá,Largos,18.725177000000002
2024,Agosto,Panamá,Planos,5.987483
2024,Agosto,Panamá,Tubos Sin Costura,0.10665
2024,Agosto,Panamá,Laminados,24.81931
2024,Agosto,Paraguay,Largos,11.318132333415676
2024,Agosto,Paraguay,Planos,25.677545900000005
2024,Agosto,Paraguay,Tubos Sin Costura,0.15503870000000003
2024,Agosto,Paraguay,Laminados,37.15071693341568
2024,Agosto,Perú,Largos,201.46165343343446
2024,Agosto,Perú,Planos,86.20161131805793
2024,Agosto,Perú,Tubos Sin Costura,1.9816095500000008
2024,Agosto,Perú,Laminados,289.6448743014924
2024,Agosto,República Dominicana,Largos,42.67282233362688
2024,Agosto,República Dominicana,Planos,9.613850339104623
2024,Agosto,República Dominicana,Tubos Sin Costura,0.0
2024,Agosto,República Dominicana,Laminados,52.286672672731505
